iter	Passed	Remaining
0	12	6246
1	23	5885
2	34	5764
3	45	5597
4	55	5470
5	65	5358
6	75	5305
7	85	5245
8	95	5189
9	105	5147
10	114	5106
11	124	5083
12	135	5078
13	146	5096
14	157	5095
15	167	5063
16	178	5071
17	190	5110
18	202	5114
19	212	5096
20	222	5072
21	233	5075
22	244	5069
23	254	5047
24	264	5029
25	275	5018
26	285	4994
27	295	4986
28	307	4988
29	317	4980
30	327	4960
31	338	4945
32	348	4935
33	359	4931
34	369	4913
35	379	4894
36	390	4889
37	400	4872
38	411	4866
39	421	4851
40	431	4832
41	441	4817
42	451	4798
43	461	4783
44	472	4780
45	482	4764
46	493	4757
47	503	4743
48	514	4734
49	524	4723
50	535	4713
51	545	4697
52	555	4684
53	566	4675
54	576	4667
55	587	4654
56	597	4643
57	607	4631
58	618	4623
59	628	4608
60	639	4604
61	649	4591
62	660	4578
63	670	4567
64	680	4554
65	692	4552
66	703	4545
67	712	4529
68	722	4515
69	732	4501
70	743	4490
71	753	4477
72	763	4465
73	773	4450
74	783	4440
75	794	4431
76	804	4420
77	815	4411
78	825	4400
79	835	4388
80	846	4377
81	857	4370
82	867	4357
83	877	4347
84	887	4334
85	898	4323
86	909	4316
87	920	4307
88	930	4297
89	940	4285
90	952	4280
91	962	4269
92	973	4260
93	984	4252
94	994	4239
95	1004	4227
96	1015	4220
97	1026	4210
98	1037	4201
99	1047	4189
100	1057	4178
101	1068	4168
102	1078	4157
103	1090	4151
104	1100	4139
105	1110	4127
106	1120	4116
107	1131	4107
108	1141	4096
109	1152	4085
110	1162	4073
111	1173	4064
112	1184	4055
113	1195	4046
114	1206	4038
115	1216	4026
116	1226	4015
117	1237	4004
118	1248	3995
119	1258	3983
120	1268	3972
121	1278	3961
122	1288	3950
123	1299	3938
124	1309	3928
125	1319	3916
126	1329	3905
127	1339	3892
128	1349	3882
129	1359	3870
130	1370	3859
131	1380	3849
132	1391	3838
133	1401	3828
134	1412	3818
135	1422	3807
136	1432	3796
137	1442	3785
138	1453	3774
139	1464	3765
140	1474	3755
141	1484	3743
142	1495	3732
143	1505	3720
144	1515	3710
145	1525	3699
146	1536	3690
147	1547	3680
148	1558	3670
149	1568	3659
150	1579	3649
151	1591	3643
152	1603	3635
153	1613	3625
154	1624	3616
155	1637	3610
156	1648	3601
157	1659	3592
158	1670	3582
159	1681	3573
160	1694	3568
161	1706	3560
162	1718	3552
163	1729	3543
164	1740	3534
165	1751	3524
166	1763	3517
167	1775	3508
168	1788	3502
169	1798	3491
170	1809	3480
171	1819	3470
172	1830	3459
173	1841	3449
174	1852	3439
175	1862	3428
176	1873	3418
177	1884	3408
178	1894	3397
179	1904	3385
180	1915	3375
181	1925	3363
182	1935	3352
183	1945	3341
184	1956	3331
185	1966	3320
186	1977	3309
187	1987	3298
188	1998	3288
189	2009	3277
190	2019	3267
191	2030	3256
192	2040	3245
193	2051	3236
194	2062	3226
195	2073	3215
196	2083	3205
197	2094	3195
198	2105	3184
199	2115	3173
200	2126	3162
201	2136	3152
202	2147	3142
203	2158	3131
204	2168	3121
205	2179	3110
206	2189	3099
207	2200	3088
208	2210	3077
209	2221	3067
210	2231	3056
211	2242	3046
212	2252	3035
213	2263	3025
214	2274	3014
215	2284	3003
216	2294	2992
217	2304	2981
218	2315	2970
219	2325	2960
220	2335	2948
221	2346	2938
222	2356	2927
223	2367	2917
224	2377	2905
225	2387	2894
226	2398	2884
227	2409	2874
228	2419	2863
229	2430	2852
230	2440	2842
231	2451	2832
232	2461	2820
233	2472	2810
234	2482	2799
235	2493	2789
236	2503	2777
237	2513	2767
238	2524	2756
239	2534	2746
240	2545	2735
241	2556	2725
242	2568	2716
243	2578	2704
244	2588	2694
245	2599	2683
246	2609	2672
247	2619	2661
248	2629	2650
249	2639	2639
250	2650	2629
251	2660	2618
252	2670	2607
253	2681	2597
254	2691	2586
255	2702	2575
256	2713	2565
257	2723	2554
258	2733	2543
259	2744	2533
260	2754	2522
261	2764	2511
262	2775	2500
263	2784	2489
264	2794	2478
265	2805	2467
266	2816	2457
267	2828	2448
268	2838	2437
269	2848	2426
270	2859	2416
271	2869	2405
272	2880	2395
273	2890	2384
274	2901	2374
275	2912	2364
276	2923	2353
277	2933	2342
278	2943	2331
279	2954	2321
280	2964	2310
281	2975	2299
282	2985	2288
283	2994	2277
284	3006	2268
285	3017	2257
286	3027	2246
287	3038	2236
288	3049	2226
289	3060	2215
290	3069	2204
291	3080	2194
292	3091	2183
293	3102	2173
294	3112	2163
295	3124	2153
296	3134	2142
297	3144	2131
298	3154	2120
299	3167	2111
300	3183	2104
301	3196	2095
302	3212	2088
303	3225	2079
304	3238	2070
305	3252	2061
306	3265	2053
307	3279	2044
308	3294	2036
309	3307	2027
310	3320	2017
311	3331	2007
312	3343	1997
313	3354	1986
314	3364	1976
315	3375	1965
316	3385	1954
317	3395	1943
318	3405	1932
319	3415	1921
320	3426	1910
321	3436	1899
322	3447	1889
323	3457	1878
324	3470	1868
325	3481	1858
326	3491	1847
327	3503	1837
328	3513	1826
329	3524	1815
330	3534	1804
331	3545	1794
332	3557	1783
333	3567	1772
334	3578	1762
335	3588	1751
336	3599	1741
337	3610	1730
338	3621	1719
339	3631	1708
340	3641	1698
341	3653	1687
342	3664	1677
343	3674	1666
344	3685	1655
345	3696	1645
346	3706	1634
347	3718	1623
348	3729	1613
349	3740	1603
350	3751	1592
351	3761	1581
352	3774	1571
353	3784	1561
354	3796	1550
355	3806	1539
356	3817	1529
357	3827	1518
358	3837	1507
359	3848	1496
360	3858	1485
361	3868	1474
362	3879	1464
363	3890	1453
364	3901	1443
365	3912	1432
366	3923	1421
367	3935	1411
368	3946	1401
369	3956	1390
370	3967	1379
371	3977	1368
372	3988	1357
373	3998	1347
374	4008	1336
375	4019	1325
376	4029	1314
377	4041	1304
378	4051	1293
379	4062	1282
380	4073	1272
381	4084	1261
382	4094	1250
383	4104	1240
384	4116	1229
385	4126	1218
386	4136	1207
387	4147	1197
388	4158	1186
389	4169	1176
390	4180	1165
391	4190	1154
392	4201	1143
393	4210	1132
394	4220	1121
395	4231	1111
396	4241	1100
397	4252	1089
398	4263	1079
399	4273	1068
400	4285	1057
401	4295	1047
402	4305	1036
403	4316	1025
404	4326	1014
405	4336	1004
406	4347	993
407	4358	982
408	4368	972
409	4378	961
410	4389	950
411	4399	939
412	4410	929
413	4421	918
414	4432	907
415	4442	897
416	4453	886
417	4463	875
418	4473	864
419	4484	854
420	4494	843
421	4503	832
422	4514	821
423	4526	811
424	4536	800
425	4545	789
426	4556	778
427	4566	768
428	4576	757
429	4586	746
430	4597	736
431	4608	725
432	4618	714
433	4629	703
434	4639	693
435	4649	682
436	4660	671
437	4671	661
438	4682	650
439	4692	639
440	4702	629
441	4713	618
442	4724	607
443	4735	597
444	4746	586
445	4757	576
446	4767	565
447	4777	554
448	4788	543
449	4800	533
450	4810	522
451	4820	511
452	4831	501
453	4841	490
454	4851	479
455	4862	469
456	4873	458
457	4883	447
458	4894	437
459	4904	426
460	4915	415
461	4925	405
462	4936	394
463	4947	383
464	4957	373
465	4968	362
466	4979	351
467	4989	341
468	4999	330
469	5010	319
470	5020	309
471	5030	298
472	5041	287
473	5051	277
474	5061	266
475	5071	255
476	5082	245
477	5093	234
478	5104	223
479	5116	213
480	5127	202
481	5138	191
482	5149	181
483	5160	170
484	5170	159
485	5181	149
486	5191	138
487	5202	127
488	5212	117
489	5222	106
490	5233	95
491	5243	85
492	5254	74
493	5265	63
494	5276	53
495	5287	42
496	5298	31
497	5310	21
498	5320	10
499	5330	0
